CNTYVTD,VTDKEY,BidenD_20G_President,TrumpR_20G_President,JorgensenL_20G_President,HawkinsG_20G_President,Write-InW_20G_President
"0850037",1657,265,1415,16,6,3
"0850038",1658,1057,976,28,3,6
"0850039",1659,1219,892,36,16,7
"0850040",1660,1057,1614,45,7,12
"0850041",1661,980,1822,31,5,9
"0850042",1662,324,934,23,1,6
"0850043",1663,1270,1033,50,14,2
"0850044",1664,494,482,14,6,3
"0850045",1665,926,1368,19,4,2
"0850046",1666,1134,755,19,5,12
"0850047",1667,978,888,27,7,10
"0850048",1668,1571,1243,36,8,17
"0850049",1669,792,984,20,8,10
"0850050",1670,1295,638,23,13,5
"0850051",1671,698,361,14,2,1
"0850052",1672,1950,957,46,12,6
"0850053",1673,854,927,29,1,3
"0850054",1674,1452,824,35,4,5
"0850055",1675,1558,863,39,8,8
"0850056",1676,922,1350,34,5,11
"0850057",1677,1585,1832,65,10,11
"0850058",1678,1484,1170,25,9,9
"0850059",1679,1274,1578,52,19,10
"0850060",1680,801,1398,18,6,9
"0850061",1681,558,700,29,5,6
"0850062",1682,1044,789,37,3,7
"0850063",1683,761,879,19,5,6
"0850064",1684,1121,891,25,8,7
"0850065",1685,465,443,14,1,2
"0850066",1686,842,744,25,7,9
"0850067",1687,1063,908,25,6,5
"0850068",1688,701,630,23,6,6
"0850069",1689,1528,1458,19,11,12
"0850070",1690,697,801,15,6,4
"0850071",1691,716,684,18,1,4
"0850072",1692,572,612,14,4,0
"0850073",1693,862,494,20,5,5
"0850074",1694,698,701,18,8,3
"0850075",1695,1043,1089,20,3,7
"0850076",1696,1215,1296,36,8,15
"0850077",1697,1572,1063,27,5,4
"0850078",1698,1964,1226,45,11,14
"0850079",1699,965,854,9,8,5
"0850080",1700,1340,1293,35,8,10
"0850081",1701,1167,932,26,7,10
"0850082",1702,1063,943,22,8,4
"0850083",1703,964,1834,37,6,7
"0850084",1704,906,876,23,3,6
"0850085",1705,1344,989,30,5,5
"0850086",1706,1113,1093,20,7,9
"0850087",1707,1421,1164,11,7,6
"0850088",1708,1014,312,17,1,4
"0850089",1709,1363,1151,22,1,4
"0850090",1710,1110,1443,18,2,8
"0850091",1711,953,804,31,7,8
"0850092",1712,1368,1133,26,3,9
"0850093",1713,31,170,0,2,0
"0850094",1714,1864,1359,24,7,11
"0850095",1715,1248,1056,35,6,7
"0850096",1716,405,377,14,3,2
"0850097",1717,324,748,6,3,4
"0850098",1718,391,550,7,2,3
"0850099",1719,114,62,4,0,1
"0850100",1720,5,7,0,0,0
"0850101",1721,1420,1414,43,9,9
"0850102",1722,775,1251,28,3,6
"0850103",1723,512,355,9,3,1
"0850104",1724,1172,430,21,5,3
"0850105",1725,19,18,0,0,0
"0850106",1726,690,691,30,5,5
"0850107",1727,1465,1141,23,9,11
"0850108",1728,1325,921,18,7,9
"0850109",1729,1516,1547,28,7,10
"0850110",1730,1053,1007,38,7,7
"0850111",1731,763,968,12,2,5
"0850112",1732,1288,1124,21,6,9
"0850113",1733,1151,1068,48,8,11
"0850114",1734,347,822,13,4,2
"0850115",1735,1291,985,16,5,11
"0850116",1736,1957,1841,36,4,15
"0850117",1737,1599,1477,42,8,14
"0850118",1738,1431,1802,39,14,12
"0850119",1739,963,931,15,3,6
"0850120",1740,1298,1520,41,10,15
"0850121",1741,1417,749,19,5,10
"0850122",1742,1432,2496,50,6,21
"0850123",1743,719,785,12,3,4
"0850124",1744,1291,996,22,11,8
"0850125",1745,2238,1546,32,11,17
"0850126",1746,1712,1687,52,4,14
"0850127",1747,1393,1331,29,2,5
"0850128",1748,675,1618,33,6,12
"0850129",1749,1466,1627,33,7,13
"0850130",1750,1639,1264,33,4,7
"0850131",1751,866,1367,31,4,11
"0850132",1752,1231,923,22,7,6
"0850133",1753,852,934,41,4,6
"0850134",1754,1502,1282,25,10,10
"0850135",1755,1715,1338,32,10,1
"0850136",1756,711,762,15,4,5
"0850137",1757,707,808,8,6,5
"0850138",1758,700,818,29,3,8
"0850139",1759,1851,1246,25,11,15
"0850140",1760,1314,2242,55,9,15
"0850141",1761,1437,1167,32,11,8
"0850142",1762,1273,1008,25,4,18
"0850143",1763,776,873,13,1,8
"0850144",1764,989,1137,26,5,9
"0850145",1765,722,537,18,6,1
"0850146",1766,1850,1665,41,7,9
"0850147",1767,775,693,24,5,6
"0850148",1768,131,151,3,1,1
"0850149",1769,1455,1802,43,5,10
"0850150",1770,538,808,13,2,0
"0850151",1771,738,540,16,4,2
"0850152",1772,95,27,0,0,0
"0850153",1773,1591,1855,26,7,12
"0850154",1774,172,777,9,0,4
"0850155",1775,985,1158,22,6,6
"0850156",1776,1207,1386,52,2,8
"0850157",1777,1657,1383,28,8,21
"0850158",1778,1228,815,16,3,6
"0850159",1779,1195,1004,34,5,10
"0850160",1780,39,263,7,1,1
"0850161",1781,71,129,3,0,2
"0850162",1782,33,188,2,0,0
"0850163",1783,796,737,15,2,5
"0850164",1784,672,717,6,6,3
"0850165",1785,280,441,10,3,5
"0850166",1786,1528,1488,30,11,7
"0850167",1787,2261,1470,36,5,7
"0850168",1788,521,937,38,4,3
"0850169",1789,1267,1125,35,4,7
"0850170",1790,532,791,17,7,14
"0850171",1791,908,900,15,4,6
"0850172",1792,1123,2142,48,5,11
"0850173",1793,173,299,8,1,1
"0850174",1794,1376,1684,49,16,9
"0850175",1795,577,836,21,4,5
"0850176",1796,1534,989,56,4,11
"0850177",1797,781,817,20,2,4
"0850178",1798,568,1442,14,2,4
"0850179",1799,1157,2664,35,8,13
"0850180",1800,1216,1134,25,5,9
"0850181",1801,523,934,26,1,4
"0850182",1802,1259,1240,19,4,8
"0850183",1803,11,55,1,0,0
"0850184",1804,1031,1078,26,3,7
"0850185",1805,16,20,1,0,0
"0850186",1806,13,84,0,1,0
"0850187",1807,44,369,2,1,2
"0850188",1808,5,38,0,0,0
"0850189",1809,103,467,7,0,0
"0850190",1810,8,48,1,0,0
"0850191",1811,60,252,5,1,0
"0850192",1812,405,1363,19,2,1
"0850193",1813,148,604,4,1,3
"0850194",1814,2,23,2,0,0
"0850195",1815,165,497,10,3,4
"0850196",1816,646,718,27,4,5
"0850197",1817,583,374,10,2,3
"0850198",1818,13,84,0,0,0
"0850199",1819,563,1364,34,2,7
"0850200",1820,410,858,18,6,6
"0850201",1821,0,0,0,0,0
"0850202",1822,0,0,0,0,0
"0850203",1823,929,1458,20,6,15
"0850204",1824,126,169,1,1,1
"0850205",1825,10,11,0,0,0
"0850206",1826,533,745,16,3,5
"0850207",1827,1239,1765,51,0,9
"0850208",1828,701,1188,28,4,7
"0850209",1829,376,407,10,2,3
"0850210",1830,776,545,7,1,2
"0850211",1831,1111,1279,39,4,10
"0850212",1832,2104,1539,27,3,11
"0850213",1833,1412,1204,29,8,4
"0850214",1834,869,2410,32,1,10
"0850215",1835,386,968,16,3,4
"0850216",1836,1185,2441,54,6,9
"0850217",1837,764,1090,30,6,5
"0850218",1838,1629,1406,32,6,9
"0850219",1839,1348,1260,31,7,4
"0850220",1840,1701,1359,24,6,10
"0850221",1841,1405,2232,45,8,10
"0850222",1842,1329,1196,21,7,12
"0850223",1843,747,786,12,7,7
"0850224",1844,520,1491,21,3,5
"0850225",1845,1614,1169,14,12,7
"0850226",1846,1659,1542,45,11,15
"0850227",1847,1583,1564,65,10,12
"0850228",1848,1492,1492,51,10,12
"0850229",1849,444,448,9,5,5
"0850230",1850,1772,1226,54,6,3
"0850231",1851,1001,1168,33,6,4
"0850232",1852,1092,1466,33,4,4
"0850233",1853,566,761,26,5,3
"0850234",1854,900,705,17,3,2
"0850235",1855,836,576,20,3,4
"0850236",1856,869,1330,31,2,9
"0850237",1857,863,734,18,2,5
"0850238",1858,1459,1114,32,5,6
"0850239",1859,996,2098,51,5,8
"0850240",1860,1781,3518,74,11,12
"0850241",1861,791,688,17,4,4
"0850242",1862,1108,1015,29,3,4
"0850243",1863,351,657,11,3,3
"0850244",1864,1084,883,17,3,2
"0850245",1865,1042,1314,21,6,7
"0850246",1866,1142,1102,25,7,11
"0850247",1867,489,1181,23,2,7
"0850248",1868,852,716,14,6,6
"0870101",1869,42,281,8,1,0
"0870201",1870,34,181,2,0,2
"0870202",1871,2,37,1,0,0
"0870301",1872,31,206,0,0,0
"0870302",1873,5,38,0,0,0
"0870401",1874,36,221,1,0,0
"0870402",1875,5,84,0,0,0
"0890101",1876,413,1107,7,3,4
"0890102",1877,42,170,4,0,0
"0890103",1878,58,382,0,0,0
"0890201",1879,477,1781,16,0,1
"0890202",1880,58,376,2,0,1
"0890302",1881,128,792,1,2,1
"0890303",1882,63,392,5,1,1
"0890304",1883,57,357,1,2,2
"0890305",1884,279,1002,3,2,3
"0890401",1885,125,211,3,0,0
"0890402",1886,720,902,8,9,1
"0910101",1887,1073,1926,46,9,1
"0910102",1888,707,2708,30,12,3
"0910103",1889,810,2610,47,2,0
"0910104",1890,404,1301,17,4,0
"0910105",1891,695,2261,31,7,2
"0910106",1892,597,2363,36,7,0
"0910107",1893,846,2151,22,4,0
"0910108",1894,367,1118,15,3,0
"0910109",1895,271,1089,14,3,0
"0910110",1896,491,1550,20,3,3
"0910201",1897,1071,2063,41,6,3
"0910202A",1898,496,995,18,7,1
"0910202B",1899,0,0,0,0,0
"0910203",1900,1048,2962,47,5,0
"0910204",1901,691,2238,32,9,2
"0910205",1902,1295,2780,35,8,0
"0910206",1903,704,2262,31,6,0
"0910207",1904,438,1509,19,3,0
"0910208A",1905,705,2098,26,4,0
"0910208B",1906,18,39,0,0,0
"0910208C",1907,4,7,0,0,0
"0910301A",1908,1363,1537,72,8,1
"0910301B",1909,0,0,0,0,0
"0910302",1910,696,1073,38,8,3
"0910303",1911,365,314,15,1,0
"0910304",1912,835,1264,43,11,0
"0910305",1913,826,1697,46,6,0
"0910306",1914,666,1086,36,4,0
"0910307",1915,413,639,21,4,0
"0910308",1916,703,1112,21,2,1
"0910401",1917,751,1625,35,5,3
"0910402",1918,1007,2888,43,5,2
"0910403",1919,561,1815,26,5,0
"0910404",1920,835,2424,35,10,0
"0910405",1921,776,2824,36,3,2
"0910406",1922,1049,2428,53,8,1
"0910407",1923,611,1929,27,0,0
"0910408",1924,638,2055,32,9,1
"0930001",1925,134,894,10,0,0
"0930002",1926,149,936,8,4,1
"0930004",1927,10,55,3,0,0
"0930005",1928,68,418,4,0,1
"0930006",1929,36,231,4,0,0
"0930007",1930,29,183,2,1,0
"0930009",1931,15,99,1,0,0
"0930010",1932,43,260,7,0,0
"0930011",1933,77,328,4,0,0
"0930012",1934,215,1146,1,0,0
"0930013",1935,30,154,1,0,0
"0930014",1936,16,80,1,0,0
"0930015",1937,28,318,3,0,0
"0930016",1938,3,75,0,0,0
"0950101",1939,37,287,3,1,0
"0950102",1940,11,56,1,1,0
"0950203",1941,3,109,0,0,0
"0950204",1942,16,73,1,0,0
"0950205",1943,22,109,2,0,0
"0950306",1944,55,157,0,1,0
"0950407",1945,1,80,0,0,0
"0950408",1946,52,187,3,0,0
"0970001",1947,41,254,6,1,0
"0970002",1948,439,833,12,2,2
"0970003",1949,61,387,2,1,0
"0970004",1950,70,295,1,0,0
"0970006",1951,165,1341,10,4,0
"0970007",1952,154,995,9,1,0
"0970008",1953,87,623,7,0,0
"0970010",1954,236,1383,14,1,0
"0970011",1955,315,1488,12,2,0
"0970012",1956,123,767,5,0,0
"0970017",1957,22,347,2,1,0
"0970018",1958,130,1337,13,1,1
"097001C",1959,627,1669,27,6,4
"0970021",1960,86,1019,5,0,0
"0970022",1961,257,1416,18,1,0
"0970033",1962,40,316,2,0,0
"097004C",1963,357,1126,11,5,1
"0990101",1964,1262,1686,64,11,7
"0990102",1965,114,871,6,1,1
"0990103",1966,30,217,3,0,0
"0990104",1967,1091,1667,72,11,6
"0990205",1968,272,1329,17,4,2
"0990206",1969,622,649,45,3,5
"0990207",1970,1165,1445,53,9,4
"0990308",1971,431,2304,34,6,2
"0990309",1972,54,422,5,1,0
"0990310",1973,98,487,4,2,1
"0990311",1974,118,91,8,0,0
"0990412",1975,857,1171,29,8,6
"0990413",1976,317,1351,18,6,4
"0990414",1977,19,286,2,0,0
"0990415",1978,19,163,2,0,0
"0990416",1979,1074,1220,45,14,7
"1010101",1980,26,156,3,1,0
"1010201",1981,19,158,2,0,0
"1010301",1982,31,106,0,0,0
"1010401",1983,37,120,1,2,0
"1030001",1984,56,421,4,2,1
"1030002",1985,80,356,2,1,0
"1030003",1986,61,243,2,0,0
"1030004",1987,44,227,2,1,1
"1050001",1988,113,282,1,0,0
"1050002",1989,73,331,3,0,0
"1050003",1990,63,375,4,1,0
"1050004",1991,95,232,1,0,0
"1070011",1992,104,251,0,1,0
"1070027",1993,151,406,10,1,0
"1070039",1994,128,318,5,2,0
"1070044",1995,144,421,7,4,0
"1090001",1996,110,88,0,1,0
"1090002",1997,112,108,5,0,0
"1090004",1998,90,68,1,0,0
"10903-3",1999,12,19,0,0,0
"10903-5",2000,114,132,3,1,0
"1110001",2001,22,223,3,0,0
"1110002",2002,2,55,0,0,0
"1110003",2003,0,24,0,0,0
"1110004",2004,0,29,0,0,0
"1110005",2005,2,22,0,0,0
"1110006",2006,26,209,2,2,0
"1110007",2007,61,233,1,1,0
"1110008",2008,47,358,7,2,0
"1110009",2009,37,236,5,0,0
"1131004",2010,775,525,15,5,0
"1131006",2011,708,685,18,4,0
"1131007",2012,155,189,2,1,0
"1131039",2013,151,16,0,0,0
"1131040",2014,1323,510,16,4,0
"1131041",2015,363,73,7,3,0
"1131043",2016,957,779,24,6,0
"1131044",2017,1298,1021,42,4,0
"1131045",2018,907,199,9,11,0
"1131046",2019,159,70,6,3,0
"1131047",2020,628,325,13,11,0
"1131048",2021,1281,867,48,7,0
"1131049",2022,867,516,15,1,0
"1131050",2023,78,54,1,0,0
"1131051",2024,99,49,4,3,0
"1131052",2025,1748,852,39,13,0
"1131054",2026,722,240,8,4,0
"1131055",2027,344,110,8,3,0
"1131056",2028,442,250,10,6,0
"1131057",2029,914,357,15,11,0
"1131058",2030,1013,441,22,4,0
"1131059",2031,737,500,12,4,0
"1131060",2032,2291,1203,38,6,0
"1131061",2033,765,373,13,2,0
"1131062",2034,15,11,0,1,0
"1131063",2035,752,280,16,3,0
"1131064",2036,63,16,0,1,0
"1131065",2037,1269,308,8,8,0
"1131067",2038,4,4,0,0,0
"1131068",2039,22,14,1,0,0
"1131076",2040,23,5,0,0,0
"1131077",2041,0,0,0,0,0
"1131078",2042,562,107,8,3,0
"1131079",2043,929,331,6,10,0
"1131080",2044,386,63,4,2,0
"1131081",2045,1557,571,28,9,0
"1131082",2046,116,19,2,1,0
"1131083",2047,758,227,10,7,0
"1131084",2048,1896,454,20,13,0
"1131085",2049,544,152,7,15,0
"1131086",2050,226,73,0,2,0
"1131087",2051,1766,260,16,15,0
"1131088",2052,845,223,16,9,0
"1131089",2053,1054,119,10,8,0
"1131090",2054,1114,230,10,9,0
"1131091",2055,924,233,10,14,0
"1131092",2056,1576,228,17,10,0
"1131093",2057,794,124,7,5,0
"1131094",2058,629,73,2,2,0
"1131095",2059,640,138,6,7,0
"1131096",2060,609,123,1,5,0
"1131097",2061,1084,281,9,8,0
"1131098",2062,941,169,5,11,0
"1131099",2063,35,9,0,0,0
"1131100",2064,1311,118,10,9,0
"1131101",2065,701,192,4,5,0
"1131102",2066,780,197,7,3,0
"1131103",2067,206,65,2,3,0
"1131104",2068,1173,221,7,12,0
"1131105",2069,24,3,0,0,0
"1131106",2070,103,24,0,4,0
"1131107",2071,314,108,2,2,0
"1131108",2072,1154,222,4,6,0
"1131109",2073,175,80,3,1,0
"1131110",2074,13,5,1,0,0
"1131111",2075,604,176,4,6,0
"1131113",2076,127,23,1,1,0
"1131114",2077,336,41,4,2,0
"1131115",2078,667,230,9,2,0
"1131116",2079,612,256,11,2,0
"1131121",2080,893,366,9,7,0
"1131124",2081,3,1,0,0,0
"1131125",2082,793,378,13,3,0
"1131128",2083,203,357,8,1,0
"1131129",2084,57,7,0,0,0
"1131133",2085,188,96,8,1,0
"1131134",2086,248,34,0,4,0
"1131135",2087,734,131,4,4,0
"1131136",2088,3,0,0,0,0
"1131137",2089,14,12,0,1,0
"1131139",2090,2,6,0,0,0
"1131140",2091,0,0,0,0,0
"1131141",2092,524,481,21,2,0
"1131142",2093,1053,1151,39,4,0
"1131143",2094,601,645,20,0,0
"1131144",2095,1312,1009,40,7,0
"1131146",2096,944,792,32,3,0
"1131147",2097,289,303,11,1,0
"1131148",2098,0,0,0,0,0
"1131151",2099,21,8,1,0,0
"1131153",2100,24,6,1,0,0
"1131159",2101,0,0,0,0,0
"1131162",2102,0,0,0,0,0
"1131163",2103,679,468,13,1,0
"1131164",2104,1013,887,40,5,0
"1131165",2105,1017,729,32,0,0
"1131168",2106,1448,966,37,3,0
"1131169",2107,1493,869,37,6,0
"1131170",2108,679,441,12,3,0
"1131171",2109,1307,651,21,2,0
"1131172",2110,970,589,22,1,0
"1131173",2111,553,305,9,2,0
"1131174",2112,1332,752,27,4,0
"1131176",2113,0,0,0,0,0
"1131300",2114,928,624,18,8,0
"1131301",2115,906,642,14,11,0
"1131302",2116,995,502,15,12,0
"1131303",2117,58,3,0,0,0
"1131304",2118,559,413,10,8,0
"1131305",2119,567,348,14,6,0
"1131307",2120,93,6,1,1,0
"1131308",2121,647,400,8,3,0
"1131309",2122,178,21,0,0,0
"1131310",2123,1028,729,21,12,0
"1131311",2124,790,685,19,9,0
"1131312",2125,337,264,4,4,0
"1131313",2126,194,38,0,2,0
"1131314",2127,848,484,12,9,0
"1131315",2128,17,7,0,0,0
"1131316",2129,381,108,5,2,0
"1131323",2130,0,0,0,0,0
"1131324",2131,1059,941,15,11,0
"1131325",2132,922,898,14,5,0
"1131326",2133,538,441,8,3,0
"1131327",2134,1266,514,24,5,0
"1131328",2135,8,5,0,0,0
"1131329",2136,5,4,0,0,0
"1131401",2137,130,55,1,1,0
"1131402",2138,948,369,8,6,0
"1131403",2139,5,16,0,0,0
"1131404",2140,357,83,6,2,0
"1131405",2141,171,66,1,0,0
"1131406",2142,191,83,3,0,0
"1131407",2143,1,3,0,0,0
"1131408",2144,1,1,0,0,0
"1131409",2145,239,129,0,3,0
"1131410",2146,762,306,8,3,0
"1131411",2147,1332,510,15,19,0
"1131412",2148,108,108,1,2,0
"1131700",2149,797,511,21,7,0
"1131701",2150,713,557,8,3,0
"1131702",2151,1021,727,15,10,0
"1131703",2152,1135,674,16,19,0
"1131704",2153,552,327,9,6,0
"1131705",2154,839,492,14,11,0
"1131706",2155,1107,692,16,10,0
"1131707",2156,251,96,3,3,0
"1131708",2157,273,185,6,1,0
"1131709",2158,1597,557,14,9,0
"1131710",2159,713,136,9,6,0
"1131711",2160,800,471,11,17,0
"1131712",2161,725,696,20,5,0
"1131713",2162,314,382,7,5,0
"1131714",2163,681,544,13,5,0
"1131715",2164,607,290,5,7,0
"1131716",2165,690,898,16,5,0
"1131717",2166,1297,768,24,6,0
"1131718",2167,522,539,9,5,0
"1131719",2168,1038,587,21,18,0
"1131720",2169,1089,765,25,7,0
"1131721",2170,799,730,19,5,0
"1131722",2171,1212,568,15,8,0
"1131723",2172,76,34,5,0,0
"1131724",2173,50,13,1,1,0
"1131725",2174,156,220,1,0,0
"1131726",2175,725,482,13,10,0
"1131727",2176,103,51,1,1,0
"1131728",2177,493,369,11,5,0
"1131729",2178,646,338,8,5,0
"1131730",2179,0,0,0,0,0
"1131731",2180,0,0,0,0,0
"1131732",2181,518,380,5,4,0
"1131733",2182,1348,954,30,15,0
"1131734",2183,498,498,10,5,0
"1131735",2184,1648,1709,28,15,0
"1131736",2185,557,852,13,2,0
"1131737",2186,1623,2243,41,9,0
"1131738",2187,1044,800,19,10,0
"1131739",2188,1159,897,28,20,0
"1131740",2189,1736,1182,38,5,0
"1131741",2190,1848,1428,22,17,0
"1131742",2191,1931,1100,26,12,0
"1131743",2192,1626,1158,31,14,0
"1131744",2193,22,27,1,0,0
"1131745",2194,953,793,21,11,0
"1131746",2195,692,435,4,3,0
"1131747",2196,1066,872,31,7,0
"1131748",2197,853,510,16,10,0
"1131749",2198,1494,954,20,8,0
"1131750",2199,1040,1003,18,8,0
"1131751",2200,2076,1583,56,11,0
"1131752",2201,1395,942,22,13,0
"1132000",2202,3,2,0,0,0
"1132001",2203,15,4,0,0,0
"1132002",2204,631,382,19,0,0
"1132003",2205,1178,1042,15,4,0
"1132004",2206,774,792,20,0,0
"1132005",2207,463,341,14,2,0
"1132006",2208,673,597,15,2,0
"1132007",2209,1198,1310,27,7,0
"1132008",2210,571,621,18,1,0
"1132009",2211,931,697,31,5,0
"1132010",2212,646,586,16,3,0
"1132011",2213,860,851,16,2,0
"1132015",2214,456,377,6,2,0
"1132016",2215,1229,1472,20,3,0
"1132017",2216,951,381,29,1,0
"1132018",2217,392,380,11,1,0
"1132019",2218,730,731,16,3,0
"1132020",2219,1212,748,24,6,0
"1132021",2220,1332,1626,29,3,0
"1132022",2221,342,305,6,0,0
"1132023",2222,557,469,12,5,0
"1132024",2223,768,625,10,0,0
"1132025",2224,986,1229,22,7,0
"1132026",2225,989,1485,18,1,0
"1132027",2226,556,775,17,1,0
"1132028",2227,1,0,0,0,0
"1132030",2228,569,1235,17,2,0
"1132031",2229,1928,968,55,5,0
"1132032",2230,1087,472,32,8,0
"1132033",2231,1012,660,22,3,0
"1132035",2232,906,517,26,2,0
"1132037",2233,548,541,11,0,0
"1132038",2234,1673,1016,27,10,0
"1132039",2235,1473,853,40,5,0
"1132040",2236,847,570,30,2,0
"1132041",2237,1700,1826,31,13,0
"1132042",2238,1459,994,27,4,0
"1132043",2239,1029,722,26,0,0
"1132044",2240,454,350,12,2,0
"1132045",2241,943,621,19,4,0
"1132046",2242,731,725,24,5,0
"1132047",2243,991,896,37,6,0
"1132048",2244,2021,1072,45,8,0
"1132049",2245,704,552,12,2,0
"1132050",2246,701,564,21,1,0
"1132051",2247,1052,884,32,3,0
"1132052",2248,498,662,17,3,0
"1132053",2249,1275,493,20,6,0
"1132054",2250,1308,464,21,7,0
"1132055",2251,660,260,7,3,0
"1132056",2252,513,600,10,3,0
"1132057",2253,209,256,1,1,0
"1132058",2254,526,344,17,2,0
"1132074",2255,492,232,11,1,0
"1132076",2256,0,3,0,0,0
"1132077",2257,538,548,10,0,0
"1132079",2258,1022,287,22,5,0
"1132080",2259,98,60,1,0,0
"1132081",2260,290,37,2,0,0
"1132082",2261,1392,370,26,7,0
"1132083",2262,873,400,26,6,0
"1132084",2263,270,49,6,0,0
"1132085",2264,146,49,6,0,0
"1132086",2265,1598,625,33,4,0
"1132087",2266,1538,571,26,9,0
"1132090",2267,22,13,0,0,0
"1132091",2268,345,274,6,2,0
"1132092",2269,0,0,0,0,0
"1132094",2270,495,207,6,0,0
"1132095",2271,0,0,0,0,0
"1132096",2272,0,0,0,0,0
"1132097",2273,0,0,0,0,0
"1132098",2274,840,458,9,2,0
"1132099",2275,2152,692,27,6,0
"11320A8",2276,0,0,0,0,0
"1132100",2277,2092,570,36,10,0
"1132101",2278,748,449,14,3,0
"1132102",2279,2066,1301,51,2,0
"1132103",2280,555,137,5,5,0
"1132104",2281,142,122,5,1,0
"1132105",2282,1309,506,38,4,0
"1132106",2283,1076,255,26,9,0
"1132107",2284,26,8,1,0,0
"1132108",2285,314,211,9,0,0
"1132109",2286,0,0,0,0,0
"1132110",2287,206,39,0,3,0
"1132111",2288,18,6,1,0,0
"1132112",2289,74,24,0,0,0
"1132113",2290,0,0,0,0,0
"1132114",2291,1171,867,14,1,0
"1132115",2292,115,98,2,0,0
"1132116",2293,66,42,2,0,0
"1132117",2294,1037,232,15,5,0
"1132118",2295,650,82,7,4,0
"1132119",2296,184,146,6,4,0
"1132120",2297,954,449,15,10,0
"1132121",2298,572,81,5,7,0
"1132122",2299,713,307,8,6,0
"1132123",2300,791,242,7,4,0
"1132124",2301,1018,239,10,8,0
"1132125",2302,1834,197,15,13,0
"1132126",2303,348,126,4,0,0
"1132127",2304,1707,722,24,10,0
"1132128",2305,1174,543,24,9,0
"1132129",2306,252,89,5,5,0
"1132130",2307,594,211,5,6,0
"1132131",2308,934,204,21,5,0
"1132132",2309,390,127,6,2,0
"1132133",2310,92,114,2,1,0
"1132134",2311,515,214,7,3,0
"1132137",2312,591,127,4,5,0
"1132138",2313,371,78,8,2,0
"1132139",2314,327,74,4,2,0
"1132140",2315,368,107,4,2,0
"1132141",2316,400,89,13,3,0
"1132142",2317,571,144,7,4,0
"1132143",2318,210,109,5,1,0
"1132144",2319,763,435,30,1,0
"1132145",2320,1590,797,31,6,0
"1132146",2321,1245,490,33,9,0
"1132147",2322,1018,554,31,1,0
"1132148",2323,419,111,7,6,0
"1132149",2324,963,289,15,6,0
"1132150",2325,699,146,11,9,0
"1132151",2326,142,73,0,0,0
"1132152",2327,855,309,10,3,0
"1132153",2328,661,251,7,3,0
"1132154",2329,15,9,0,0,0
"1132155",2330,1240,457,29,5,0
"1132200",2331,540,976,4,2,0
"1132201",2332,552,982,13,0,0
"1132202",2333,570,1015,17,3,0
"1132203",2334,545,802,21,3,0
"1132220",2335,432,1096,13,1,0
"1132221",2336,967,2011,34,3,0
"1132222",2337,852,1624,26,4,0
"1132223",2338,566,778,23,5,0
"1132224",2339,765,734,17,2,0
"1132225",2340,541,889,18,1,0
"1132226",2341,843,1492,22,5,0
"1132300",2342,611,320,15,4,0
"1132301",2343,868,1005,25,3,0
"1132302",2344,919,328,10,11,0
"1132303",2345,1002,739,28,11,0
"1132305",2346,1007,718,31,6,0
"1132306",2347,578,448,21,3,0
"1132307",2348,315,216,6,1,0
"1132308",2349,624,301,9,1,0
"1132309",2350,864,372,19,7,0
"1132310",2351,871,798,12,7,0
"1132311",2352,182,92,3,2,0
"1132312",2353,31,8,1,1,0
"1132313",2354,0,0,0,0,0
"1132315",2355,99,71,3,1,0
"1132316",2356,617,435,18,2,0
"1132400",2357,47,88,0,1,0
"1132401",2358,1352,1175,33,13,0
"1132402",2359,1307,958,35,14,0
"1132403",2360,1,3,0,0,0
"1132404",2361,822,484,25,5,0
"1132405",2362,1265,1172,35,4,0
"1132406",2363,1496,886,26,7,0
"1132407",2364,1611,1066,36,13,0
"1132408",2365,705,374,15,6,0
"1132409",2366,924,478,19,6,0
"1132410",2367,741,373,14,3,0
"1132411",2368,299,125,5,3,0
"1132412",2369,2,1,0,0,0
"1132417",2370,131,121,3,0,0
"1132500",2371,551,360,23,1,0
"1132501",2372,559,557,23,7,0
"1132502",2373,657,890,20,0,0
"1132503",2374,1001,1164,26,3,0
"1132504",2375,517,489,37,9,0
"1132505",2376,954,682,31,11,0
"1132506",2377,961,819,39,8,0
"1132507",2378,908,783,36,3,0
"1132508",2379,1562,784,53,12,0
"1132509",2380,1177,1102,47,11,0
"1132510",2381,764,544,20,4,0
"1132511",2382,858,664,23,11,0
"1132512",2383,615,511,17,7,0
"1132513",2384,1169,822,30,11,0
"1132514",2385,1150,892,25,6,0
"1132515",2386,305,211,6,0,0
"1132517",2387,1304,423,17,8,0
"1132518",2388,840,618,25,2,0
"1132519",2389,1103,487,30,6,0
"1132520",2390,1737,785,22,18,0
"1132521",2391,1033,595,28,6,0
"1132523",2392,648,414,23,5,0
"1132601",2393,977,429,16,8,0
"1132602",2394,1561,653,20,4,0
"1132603",2395,1605,746,28,6,0
"1132604",2396,1411,635,17,11,0
"1132605",2397,1477,647,19,7,0
"1132606",2398,1088,583,23,6,0
"1132607",2399,3,0,0,0,0
"1132608",2400,1119,866,12,5,0
"1132609",2401,2,0,0,0,0
"1132610",2402,0,0,0,0,0
"1132611",2403,758,351,14,3,0
"1132612",2404,431,335,9,1,0
"1132613",2405,1896,991,31,13,0
"1132614",2406,53,25,0,0,0
